DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1398S1;P1398S2;P1398S3;P1398S4;P1398S5;P1398S6;P1398S8;P1398S9;P1398S10;P1398S12;P1398S13;P1398S20;P1398S22;P1590S1;P1590S2;P1590S3;P1590S4;P1590S5;P520S1;P520S2;P520S3;P520S4;P520S8;P520S9;P520S5;P520S10;P520S6;P3103
647667;236;1;1;1;171.62517119;1;1;1;1;1;1;1;1;1;1;;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3
647668;236;1;1;1;157.97433511;1;2;1;2;2;2;1;2;1;1;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;4
647669;236;1;1;1;171.62517119;1;2;2;2;2;2;2;2;1;1;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;4
647670;236;1;1;1;219.95684737;2;2;2;2;2;2;2;2;2;2;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647671;236;1;1;1;143.82794077;1;2;2;1;2;2;2;1;1;1;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;4
647672;236;1;1;1;183.29737281;1;2;2;2;2;2;1;2;1;1;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;4
647673;236;1;1;1;155.86691854;2;2;2;2;2;2;2;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647675;236;1;1;1;138.78741504;1;2;2;2;2;2;2;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647676;236;1;1;1;142.87800866;2;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647679;236;1;1;1;224.26694589;1;2;2;2;1;2;1;2;2;1;;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;9
647681;236;1;1;1;226.967208;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5
647682;236;1;1;1;208.87742961;1;2;1;1;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;9
647683;236;1;1;1;159.55777888;1;2;1;2;1;1;1;1;1;1;;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;6
647684;236;1;1;1;150.70738763;1;2;1;2;1;1;1;1;1;1;;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;6
647685;236;1;1;1;224.26694589;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647687;236;1;1;1;209.67039096;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;5
647689;236;1;1;1;133.2681517;1;2;2;2;2;1;2;2;2;2;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647690;236;1;1;1;131.84227904;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647692;236;1;1;1;194.72849986;1;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647693;236;1;1;1;158.79628026;1;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647695;236;1;1;1;500.74614296;2;2;1;1;2;1;1;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647696;236;1;1;1;550.1759995;1;1;2;1;2;1;2;2;2;2;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;
647697;236;1;1;1;864.42906877;1;1;1;1;2;1;2;2;1;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647698;236;1;1;1;751.03383297;1;2;1;1;2;1;2;2;2;2;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;
647699;236;1;1;1;793.15528584;1;2;2;1;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647700;236;1;1;1;523.45920585;1;2;2;1;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647701;236;1;1;1;587.83719049;1;1;2;2;1;1;1;1;1;1;;1;2;1;1;1;2;2;1;2;1;2;2;2;2;2;2;1
647702;236;1;1;1;723.75514517;2;2;2;2;2;1;1;1;1;1;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;
647702;236;2;1;2;723.75514517;1;1;2;2;1;1;1;1;1;1;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;
647704;236;1;1;1;587.74319333;1;2;2;2;1;1;1;1;1;1;;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;
647705;236;1;1;1;671.64276424;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;9
647710;236;1;1;1;501.81074173;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647711;236;1;1;1;501.81074173;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647712;236;1;1;1;752.35662302;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647713;236;1;1;1;451.92763679;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
