DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C
647667;236;1;1;1;171.62517119
647668;236;1;1;1;157.97433511
647669;236;1;1;1;171.62517119
647670;236;1;1;1;219.95684737
647671;236;1;1;1;143.82794077
647672;236;1;1;1;183.29737281
647673;236;1;1;1;155.86691854
647675;236;1;1;1;138.78741504
647676;236;1;1;1;142.87800866
647679;236;1;1;1;224.26694589
647681;236;1;1;1;226.967208
647682;236;1;1;1;208.87742961
647683;236;1;1;1;159.55777888
647684;236;1;1;1;150.70738763
647685;236;1;1;1;224.26694589
647687;236;1;1;1;209.67039096
647689;236;1;1;1;133.2681517
647690;236;1;1;1;131.84227904
647692;236;1;1;1;194.72849986
647693;236;1;1;1;158.79628026
647695;236;1;1;1;500.74614296
647696;236;1;1;1;550.1759995
647697;236;1;1;1;864.42906877
647698;236;1;1;1;751.03383297
647699;236;1;1;1;793.15528584
647700;236;1;1;1;523.45920585
647701;236;1;1;1;587.83719049
647702;236;1;1;1;723.75514517
647702;236;2;1;2;723.75514517
647704;236;1;1;1;587.74319333
647705;236;1;1;1;671.64276424
647710;236;1;1;1;501.81074173
647711;236;1;1;1;501.81074173
647712;236;1;1;1;752.35662302
647713;236;1;1;1;451.92763679
647715;236;1;1;1;2059.4003014
647716;236;1;1;1;451.92763679
647717;236;1;1;1;1932.9282564
647718;236;1;1;1;1932.9282564
647719;236;1;1;1;451.92763679
647720;236;1;1;1;1118.1159134
647721;236;1;1;1;451.92763679
647722;236;1;1;1;574.94809926
647723;236;1;1;1;1202.8910136
647724;236;1;1;1;962.24827977
647725;236;1;1;1;601.2718683
647726;236;1;1;1;775.70035657
647727;236;1;1;1;654.2121073
647728;236;1;1;1;795.14079882
647729;236;1;1;1;682.6931928
647730;236;1;1;1;573.58411
647731;236;1;1;1;997.25704539
647732;236;1;1;1;654.2121073
647733;236;1;1;1;1307.492992
647735;236;1;1;1;637.31567777
647736;236;1;1;1;840.97115899
647737;236;1;1;1;717.54186244
647738;236;1;1;1;1036.4921876
647739;236;1;1;1;798.16395095
647740;236;1;1;1;1209.0189619
647741;236;1;1;1;899.54164754
647742;236;1;1;1;1056.5216052
647743;236;1;1;1;699.31378618
647744;236;1;1;1;875.77356812
647745;236;1;1;1;544.45193009
647746;236;1;1;1;436.82773326
647747;236;1;1;1;136.70779931
647748;236;1;1;1;165.16655664
647749;236;1;1;1;111.76214519
647750;236;1;1;1;143.29338507
647751;236;1;1;1;149.95286528
647752;236;1;1;1;145.40192668
647753;236;1;1;1;111.76214519
647754;236;1;1;1;177.32180256
647755;236;1;1;1;887.81889765
647756;236;1;1;1;791.50776699
647756;236;2;1;2;791.50776699
647756;236;3;1;3;791.50776699
647757;236;1;1;1;487.61976587
647758;236;1;1;1;533.61838127
647760;236;1;1;1;691.39044959
647761;236;1;1;1;668.27100679
647762;236;1;1;1;583.8241008
647763;236;1;1;1;474.54271868
647765;236;1;1;1;528.56385638
647766;236;1;1;1;1172.1231721
647767;236;1;1;1;420.56420482
647768;236;1;1;1;637.6072752
647769;236;1;1;1;447.19780632
647770;236;1;1;1;725.74035941
647771;236;1;1;1;550.58107349
647773;236;1;1;1;980.42582208
647775;236;1;1;1;71.098645671
647776;236;1;1;1;92.766326636
647777;236;1;1;1;89.936091438
647778;236;1;1;1;71.11186447
647779;236;1;1;1;75.868636044
647780;236;1;1;1;70.272466924
647782;236;1;1;1;104.62935991
647783;236;1;1;1;120.43283288
647784;236;1;1;1;95.090464541
647785;236;1;1;1;89.225097405
647787;236;1;1;1;108.9626969
647788;236;1;1;1;91.298001057
647789;236;1;1;1;82.050272801
647790;236;1;1;1;81.04232729
647791;236;1;1;1;71.845078567
647792;236;1;1;1;63.774767432
647794;236;1;1;1;63.609788932
647796;236;1;1;1;1321.2299779
647797;236;1;1;1;1492.3913535
647798;236;1;1;1;1793.3259594
647799;236;1;1;1;958.30451388
647800;236;1;1;1;1011.2569287
647802;236;1;1;1;767.31464773
647803;236;1;1;1;1424.7873533
647804;236;1;1;1;767.31464773
647805;236;1;1;1;1011.2569287
647806;236;1;1;1;1682.6069974
647807;236;1;1;1;616.14503679
647808;236;1;1;1;840.22829366
647809;236;1;1;1;948.35117977
647810;236;1;1;1;800.70253995
647811;236;1;1;1;784.12349281
647812;236;1;1;1;800.63020604
647813;236;1;1;1;784.12349281
647816;236;1;1;1;869.4305499
647817;236;1;1;1;516.71020049
647818;236;1;1;1;801.17985241
647820;236;1;1;1;947.41765265
647821;236;1;1;1;920.93100045
647823;236;1;1;1;826.17015238
647824;236;1;1;1;674.17128578
647826;236;1;1;1;638.86967592
647827;236;1;1;1;720.73850504
647828;236;1;1;1;745.95411037
647829;236;1;1;1;899.93835114
647830;236;1;1;1;155.14843986
647831;236;1;1;1;84.27253915
647832;236;1;1;1;120.93755672
647833;236;1;1;1;92.34838284
647834;236;1;1;1;90.131600564
647835;236;1;1;1;106.48038934
647836;236;1;1;1;113.47991141
647837;236;1;1;1;89.029737957
647838;236;1;1;1;91.046161553
647839;236;1;1;1;125.26188062
